"Magnetec - Ungarn","Linux rendszergazdai ismeretek","2002","2","5","Linux"
"Danubiana Kft.","Gépkezelési és Internet alapismeretek","2002","3","5","Irodai"
"Török Biztonsági Szolgálat","Windows, Open Office","2002","4","6","Irodai"
"Euromacc Rt.","Linux alap és haladó adminisztrátori ismeretek","2002","5","10","Linux"
"Egyesült Reklám Rt.","Windows, Excel, Power Point","2002","6","8","Irodai"
"Fornax Rt.","Dokumentum kezelés, MS-Word haladó","2002","7","8","Irodai"
"Magyar Posta Rt.","Windows - Office 2000","2002","8","42","Irodai"
"ÁNTSZ","Linux alap és hálózati ismeretek","2001","9","4","Linux"
"VNU lapkiadó","Webszerkesztés, Flash 5 alapismeretek","2001","10","8","Web"
"APEH","Windows 2000 Server","2001","12","5","Windows szerver"
"Ericsson Magyarország Kft.","Power Point tréning, MS-Access tréning Flash 5 tréning","2001","13","10","Irodai"
"Kincstári Vagyoni Igazgatóság","Webszerkesztés és Programozás","2001","14","6","Web"
"GTS-DATANET Távközlési Kft.","Flash 5 programozás","2001","15","4","Web"
"Webigen Rt.","MS Outlook csoportmunka, Flash 5 programozás","2001","16","5","Irodai"
"DANONE","Word-Excel egyéni tréning középvezetőknek","2001","17","3","Irodai"
"Magyar Posta Rt.","Windows NT-Word-Excel-Power Point-Outlook","2001","18","26","Irodai"
"Taurus Rt.","MS ACCESS 97 tréning programozóknak","2000","19","3","Irodai"
"FLAG Informatikai Rt.","Csoportmunka MS Outlook 97-el","2000","20","6","Irodai"
"AKZO NOBEL Rt.","Excel 97 - Internet tréning","2000","21","8","Irodai"
"STORA Papírker Rt.","Windows NT 4.0, Office 97, Outlook 97","2000","22","30","Irodai"
"Achico Rt.","POWER POINT tréning középvezetőknek","1999","23","5","Irodai"
"Csemege Julius Meinl","Raktárkezelés számítógéppel","1999","24","10","Irodai"
"Rhone Poulenc Kft.","WIN95-EXCEL üzletkötőknek, Access 97 alapok","1999","25","12","Irodai"
"MALÉV Rt.","VISUAL BASIC, C++, MS SQL SERVER fejlesztőknek","1999","26","8","Programozás"
"BAYER Hungária Rt.","Winword, Excel, Power Point","1999","27","8","Irodai"
"Művelődési és Közoktatási Minisztérium","Winword 6.0, Excel 5.0, Internet ismeretek","1999","28","18","Irodai"
"Pioneer Magyarország","Táblázatkezelés pénzügyes kollégák részére","2002","30","5","Irodai"
"Magyar Honvédség","Windows 2000-Exchange 2000 Szerver kezdő és haladó szinten","2002","31","60","Windows Szerver"
"PannonGSM","Linux RedHat 7.3 Rendszergazdai ismeretek haladó szinten","2003","32","6","Linux"
"Ferrero Magyarország","Excel kezdő és haladó szinten","2003","33","10","Irodai"
"Questor Rt.","Adatfeldolgozás Excel segítségével haladóknak","2003","34","12","Irodai"
"Is:Energy","PHP-SQL alapú alkalmazásfejlesztés haladó szinten","2002","35","5","Web"
"Fornax Rt.","Excel haladó szinten","2003","36","8","Irodai"
"Budapest Airport Rt.","Windows XP/Office XP alapismeretek","2003","37","25","Irodai"
"Bristol-Myers Squibb","Word-Excel-PowerPoint egyéni tréning","2003","38","1","Irodai"
"Ferrinfo Rt.","Linux rendszergazdai alapok","2003","39","10","Linux"
"Media Markt","Linux rendszergazda","2003","40","3","Linux"
"Szerencsejáték Rt.","Windows 2000 Server","2003","41","8","Windows Szerver"
"Olajterv Rt.","Java-XML","2003","42","4","Programozás"
"AdPland","Access alapok","2004","43","3","Adatbázis"
"EmersonnetworkPower","Php-SQL programozás","2004","44","3","Web"
"Nemzetbiztonsági szakszolgálat","Windows 2000 Szerver","2004","45","30","Windows Szerver"
"Ferrinfo Rt.","Linux rendszergazda nagygépes környezetben","2004","46","6","Linux"
"Országos Egészségbiztosítási Pénztár","PHP-SQL programozás","2004","47","12","Web"
"Magyar Nemzeti bank","Adatbázis-kezelés- SQL","2004","48","15","Adatbázis"
"Eulerhermes Rt.","Office 97 középhaladó tréning","2004","49","8","Irodai"
"Graphisoft Rt.","PowerPoint 2003 angol nyelven","2004","50","4","Irodai"
"Budapest Airport Rt.","Office XP (Word-Excel)","2004","51","25","Irodai"
"Szerencsejáték Rt.","Windows XP-Windows 2003 Szerver","2004","52","4","Windows Szerver"
"T-Mobile Magyarország Rt.","Linux OpenLDAP","2004","53","3","Linux"
"GE Medical Systems Rt.","Linux OpenLDAP","2004","54","3","Linux"
"Ericsson Magyarország","Excel 2000 haladó tréning","2004","55","4","Irodai"
"Audi Hungária Motor Kft.","Flash - ASP integráció","2004","56","5","Web"
"Dr. Oetker Magyarorszag","Office 2000 kezdő és haladó","2004","57","15","Irodai"
"CitiBank Rt.","Excel haladó tanfolyam","2004","58","8","Irodai"
"Budapest Ingatlan Rt.","Word-Excel-PowerPoint kezdő és haladó szinteken","2005","59","12","Irodai"
"Eurocontrol CRDS","Linux alapismeretek angol nyelven","2005","60","5","Linux"
"Expressz Magyarország Rt.","Office 2000 és 2003 kezdő és haladó szinteken","2005","61","240","Irodai"
"GTS Datanet","Excel haladó téning ANGOL nyelven","2005","62","1","Irodai"
"Ferrinfo Rt.","Web-programozás- PHP-SQL","2004","63","5","Web"
"OTP Bank Rt.","Excel VBA programozás","2005","64","7","Programozás"
"UNIQA biztosító","PowerPoint haladó tréning","2005","65","12","Irodai"
"MC Direct","DTP ismeretek, Indesign","2005","66","4","Grafika"
"FMC Consulting","Word, Excel, Access haladó ismeretek","2005","67","15","Irodai"
"IDG Hungary","Flash és Web-programozás","2005","68","4","Web"
"PRA International","Word Excel-PowerPoint 2003 haladó ismeretek","2005","69","7","Irodai"
"Erste Leasing","Java programozási ismeretek","2005","70","3","Programozás"
"T-Online","Linux OpenLDAP kezdő és haladó szinteken","2005","71","7","Linux"
"GMAC Hungary Rt.","Access 2003 alapok","2005","72","1","Adatbázis"
"Diamond Kft.","Excel középhaladó","2005","73","6","Irodai"
"Ericsson Magyarország","Webszerkesztés-Dreamweaver","2005","74","7","Web"
"Országos Igazságszolgáltatási Tanács Hivatala","Adatbáziskezelés, MySQL és ORACLE  adminisztráció","2005","75","120","Adatbázis"
"Szám-Tér-Kép Bt.","ACCESS-MS SQL egyedi konzultáció","2005","76","2","Adatbázis"
"T-Mobile","Flash MX-Flash 8 alapok és ActionScript","2005","77","4","Web"
"Toreador Kft.","Excel haladó tréning","2005","78","4","Irodai"
"Budapesti Értéktőzsde","RedHat Linux Enterprise 4 haladó tréning","2005","79","7","Linux"
"TÁRKI","MS SQL szerver adminisztráció","2005","80","2","Adatbázis"
"BAYER","MSAccess 2003","2005","81","1","Adatbázis"
"Else Magyarország Kft.","Flash ActionScript","2006","82","4","Web"
"AVIVA Biztosító Rt.","Flash 8 alapok és PHP-SQL programozás","2006","83","4","Web"
"Raiffeisen Leasing Rt.","ASP.NET","2006","84","4","Programozás"
"Renault Trucks Hungária Kft","Office 2003 konzultáció","2006","85","30","Irodai"
"Ferrinfo Rt.","MS SQL szerver 2000 és 2005","2006","86","7","Adatbázis"
"Ferrinfo Rt.","Windows 2003 Szerver alap és haladó szintek","2006","87","12","Windows szerver"
"Euromedic Pharma Zrt.","Excel középhaladó tréning","2006","10109","14","Irodai"
"Toreador Hungary Ltd.","Excel és Outlook alapok","2006","10110","1","Irodai"
"Graphisoft Ltd.","Ofice 2003 (Word, Excel, PowerPoint) haladó szint +Excel Makró","2006","10111","20","irodai"
"Euromedic Trading Kft.","Excel kezdő és középhaladó","2006","10112","7","Irodai"
"Graphisoft Ltd.","Web-tartalomfejlesztési ismeretek","2006","10113","2","Web"
"Ecolab-Hygiene Kft.","Office XP (Word, PowerPoint, Excel, Excel makrók)","2006","10114","5","Irodai"
"ASA Magyarország Kft.","Corel 12 csomag","2006","10115","1","Grafika"
"Budapest Autófinanszírozási Rt.","MS Access","2006","10116","7","Irodai"
"Cadbury Magyarország","Office 2003 középhaladó (Excel, Word, PowerPoint)","2006","10117","5","Irodai"
"Media Markt Budaőrs","Windows 2003 Szerver","2006","10118","4","Windows szerver"
"EuroMedic InterNational","Excel 2000 kezdő","2006","10119","4","Irodai"
"Vodafone Magyarország zrt.","Drupal CMS rendszer","2006","10120","1","Web"
"Exxon Mobil","Gépkezelés-Word-Excel","2006","10121","1","Irodai"
"Michelin Hungária Kft.","Web-programozás, PHP-SQL","2006","10122","4","Web"
"Robin Design","Flash alapismeretek","2006","10123","3","Web"
"Central European University","Access 2003 alapismeretek","2006","10124","3","Irodai"
"Digitális banki Rendszerek Kft.","Web-programozás (Alapok-PHP-SQL-JAVA)","2006","10125","8","Web"
"Buderus Hungária","Excel 2003 haladó","2006","10126","7","Irodai"
"Gemini-IT","Linux rendszergazdai ismeretek","2006","10127","4","Linux"
"Four Seasons Hotel","Excel 2003 haladó","2006","10128","2","Irodai"
"Digitális Banki Rendszerek Kft.","Web-programozás (HTML-CSS_JavaScript-PHP-SQL-JAVA)","2006","10129","8","Web"
"Renault Trucks","Access 2003 alapismeretek","2006","10130","7","Irodai"
"FMC Tanácsadó és Informatikai Kft.","Word 2003, Excel 2003 haladó képzés","2006","10131","14","Irodai"
"Merkur Star Kft.","Táblázatkezelés alapismeretek","2006","10132","5","Irodai"
"Papír-Ász Kft.","Windows XP- Word-Excel XP alapok és haladó","2006","10133","30","Irodai"
"Sanoma Budapest Kiadói Zrt.","Excel VBA programozás","2006","10134","5","Irodai"
"SIGNAL Biztosító Zrt.","Visual Basic - ASP.NET","2006","10136","4","Programozás"
"Nemzetbiztonsági Szakszolgálat","Windows 2003 Szerver","2006","10137","5","Windows Szerver"
"EuroControl CRDS","Word 2003 középhaladó és haladó képzés Angol nyelven","2006","10138","16","Irodai"
"Kompakt Autó Kft.","Windows XP- Word-Excel XP- Outlook","2007","10139","30","Irodai"
"Vám és Pénzügyőrség Közp. Bűnüld. Parancsn.","Linux rendszergazda haladó","2006","10140","4","Linux"
"Kossuth Kiadó","Indesign CS2","2007","10141","5","Grafika"
"Raiffeisen Leasing ZRt.","XML .NET alapon","2007","10142","5","Programozás"
"IFUA Horváth &amp; Partners Kft.","Excel 2003 haladó","2007","10143","12","Irodai"
"Közlekedés Biztosító Egyesület","ORACLE adminisztráció és fejlesztés","2007","10144","6","Adatbázis"
"Longwood Kft.","Web-programozási alapismeretek","2007","10145","3","Web"
"White page Kft.","Web-programozási alapismeretek","2007","10146","1","Web"
"Sika Hungária Kft.","Office XP (Word, Excel, PowerPoint)","2007","10147","23","Irodai"
"Pet-Hungária Kft.","Excel 2003 középhaladó","2007","10148","16","Irodai"
"Flexiton Kft.","CorelDraw és Photoshop kezdő","2007","10149","4","Grafika"
"IVSZ-IT Mentor Program","Webszerkesztés, szabvány alapú webdesign","2007","10150","13","Web"
"RKB Építő","Linux Levelező szerver","2007","10151","1","Linux"
"Encore-international","Joomla tartalomkezelő rendszer","2007","10152","3","Web"
"Geomedia Kft.","Ms Access középhaladó","2007","10153","2","Irodai"
"Ericsson Magyarország","Dreamweaver-Fireworks","2007","10154","4","Web"
"AVIVA Biztosító RT.","Linux LDAP, XHTML-CSS, PHP haladó","2007","10155","4","Web"
"Raiffeisen Leasing ZRt.","Java","2007","10156","5","Programozás"
"Ericsson Magyarország","Excel 2003 kezdő, haladó, VBA","2007","10157","30","Irodai"
"Nissan Magyarország","Excel és Access adatfeldolgozás magyar és angol nyelven","2007","10158","16","Irodai"
"Magyar TelefonTársaság","Access 2003","2007","10159","12","Irodai"
"IFUA Horváth &amp; Partners Kft.","EXcel VBA programozás","2007","10160","20","Irodai"
"Nyugdíjfolyósító Igazgatóság","Windows Server 2003","2007","10161","10","Windows szerver"
"Nyugdíjfolyósító Igazgatóság","Linux rendszergazdáknak","2007","10162","12","Linux"
"Nyugdíjfolyósító Igazgatóság","Excel 2003 haladó","2008","10163","12","Irodai"
"GraphIT Kft","ASP.NET","2007","10164","5","Web"
"RAABE Tanácsadó és Kiadó Kft.","MS Access alapok","2007","10165","0","Adatbázis"
"InterJnet Számítástechnikai Kft.","Linux Redhat/CentOS 5 rendszergazdai alapismeretek","2007","10166","9","Linux"
"HiperCom Hungária Kft.","Indesign ismeretek (QUARK felhasználóknak)","2007","10167","12","Grafika"
"Magyar Bíróképző Akadémia","Photoshop CS3, IllustratorCS3, Indesign CS3, Acrobat, Macintosh alapok","2008","10168","12","Grafika"
"Magyar Bíróképző Akadémia","Webszerkesztési ismeretek, Photoshop, Flash CS3","2008","10169","12","Web"
"Hewitt Humán Tanácsadó Kft.","Excel VBA programozás","2008","10170","7","Irodai"
"Budapesti Elektromos Művek Nyrt.","Web-programozás alapjai","2008","10171","5","Web"
"Buderus Hungária Kft.","Office 2003 csomag, Outlook, Excel PIVOT, PowerPoint","2008","10172","8","Irodai"
"Studio Moderna 2000 TV-Shop Kft.","Flash ActionScript programozás","2008","10173","1","Web"
"Coats Hungary","Ms Access alapismeretek","2008","10174","14","Irodai"
"OBI Magyarország","EXcel VBA programozás","2008","10175","4","Irodai"
"Nissan Magyarország","Excel haladó, Access alap-középhaladó magyar és angol nyelven","2008","10176","25","Irodai"
"Ericsson Magyarország","Excel 2003 haladó","2008","10177","24","Irodai"
"Vincotech Hungary Ltd.","Windows 2003 Server","2008","10178","4","Windows Server"
" IFUA Horváth &amp; Partners Kft.","Excel 2003 haladó és VBA képzés","2008","10179","15","Irodai"
"Energiagazdálkodási Intézet (EGI)","Visual Studio .NET, Forms alapú alkalmazásfejlesztés","2008","10180","5","Programozás"
" IFUA Horváth &amp; Partners Kft.","PowerPoint haladó áttekintés","2008","10181","8","Irodai"
"Kempinski Hotel Corvinus Budapest","Excel 2003 vezető managereknek angol nyelven","2008","10182","5","Irodai"
"Ecolab-Hygiene Kft.","Excel 2003 haladó","2008","10183","5","Irodai"
"AVIVA Biztosító RT.","Objektum Orientált PHP, AJAX, JavaScript könyvtárak (Ext2)","2008","10184","5","Web"
"KHP Budapest Kft.","Webszabványok, JavaScript, Flash ActionScript 2","2008","10185","3","Web"
"Expressz Magyarország Rt.","Drupal 6 portálfejlesztés","2008","10186","5","Web"
"Sanoma Budapest  Lapkiadó","PowerPoint","2008","10187","5","Irodai"
"Mexx  regionális iroda","Excel 2003 középhaladó","2008","10188","8","Irodai"
"Ségécé Magyarország Kft.","Excel 2003 kezdő","2008","10189","6","Irodai"
"Művészetek Palotája","Exel 2003 kezdő és haladó","2008","10190","35","Irodai"
"Budapest Bank","JavaScript - AJAX","2008","10191","6","Web"
"Ness - FMC","Office 2003 csomag, PowerPoint, Excel, Word haladó szinten","2008","10192","30","Irodai"
"METRO - Budaőrs","Excel VBA programozás","2008","10193","15","Irodai"
"Wildom Kft.","Java alapú webfejlesztés","2008","10194","5","programozás"
"Computrend Kft.","Java alapú webalkalmazások","2008","10195","6","Programozás"
"Raiffeisen Leasing ZRt.","dotNET fejlesztés: Ajax, biztonság, SharePoint alapú alkalmazások","2008","10196","4","Programozás"
"Ericsson Magyarország","Egyedi Excel VBA fejlesztés","2008","10197","0","VBA fejlesztés"
"Nissan Magyarország","Egyedi Excel VBA fejlesztés","2008","10198","0","VBA fejlesztés"
"Stromboly Event Kft.","Egyedi Excel VBA fejlesztés","2008","10199","0","VBA fejlesztés"
"Stromboly Event Kft.","Egyedi Excel VBA fejlesztés","2008","10200","0","VBA fejlesztés"
"Ecolab-Hygiene Kft.","Egyedi Access fejlesztés","2009","10201","0","VBA fejlesztés"
"Magyar Üzletemberképző Akadémia","Egyedi Access alkalmazás fejlesztése","2008","10202","0","VBA fejlesztés"
"Stromboly Event Kft.","Egyedi Excel VBA fejlesztés","2009","10203","0","VBA fejlesztés"
"Állami számvevőszék","Web-programozás","2009","10204","4","Web"
"Bizerba Hungária","Outlook levelezés és csoportmunka","2009","10205","12","Irodai"
"Auchan magyarország","Átfogó Informatikai alapképzés, Excel-Word powerPoint","2009","10206","1","Irodai"
"METRO - Budaőrs","Access alapismeretek","2009","10207","6","Irodai"
"MotorPresse kiadó","Indesign-Incopy együttműködés","2009","10208","8","Grafika"
"Vodafone Magyarország","Web-programozási alapismeretek és DRUPAL CMS","2009","10209","6","Web"
"Tredegar Kft","Excel 2003-2007 haladó","2009","10210","5","Irodai"
"Ericsson Magyarország","Excel 2003 haladó","2009","10211","12","Irodai"
